egoid,stress,happy,health,trust,sleep_quality,sedentary,exercise_alone,exercise_others,beer,wine,caffeine,tobacco,wave
82248,1.7,0.0,2.0,3.3333333,,2.2727273,2.0,3.0,3.0,3.0,2.0,3.0,4
11482,3.0,1.0,2.0,2.5,5.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,4
70492,2.5,0.0,1.0,3.1666667,,3.090909,2.0,0.0,1.0,0.0,0.0,3.0,4
95543,0.40000001,3.0,2.0,3.5,4.0,2.6363637,3.0,4.0,3.0,3.0,2.0,3.0,4
21380,1.5,2.0,2.0,4.1666665,,1.8181819,2.0,2.0,4.0,1.0,4.0,4.0,4
67106,0.40000001,3.0,2.0,3.6666667,4.0,1.6363636,2.0,3.0,3.0,3.0,3.0,3.0,4
25495,1.9,1.0,2.0,3.1666667,6.0,2.1818182,4.0,3.0,2.0,2.0,2.0,3.0,4
83612,2.5,0.0,2.0,2.6666667,4.0,2.2727273,1.0,1.0,2.0,0.0,4.0,3.0,4
19122,2.4000001,1.0,1.0,3.0,5.0,2.7272727,2.0,2.0,1.0,2.0,1.0,3.0,4
99978,0.40000001,3.0,0.0,4.3333335,6.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,4
92566,0.40000001,3.0,0.0,3.0,5.0,1.8181819,4.0,0.0,0.0,1.0,1.0,3.0,4
39414,1.9,0.0,1.0,2.8333333,5.0,1.9090909,1.0,3.0,3.0,3.0,4.0,3.0,4
35987,2.3,0.0,2.0,2.8333333,6.0,2.7272727,3.0,3.0,1.0,3.0,4.0,1.0,4
46373,1.3,2.0,2.0,3.3333333,4.0,3.1818182,1.0,1.0,4.0,4.0,4.0,4.0,4
79341,1.9,1.0,0.0,3.0,4.0,2.7272727,4.0,1.0,3.0,3.0,1.0,3.0,4
19591,1.6,2.0,0.0,3.5,,1.8181819,4.0,4.0,1.0,1.0,4.0,3.0,4
83536,1.1,3.0,0.0,3.1666667,5.0,2.909091,1.0,1.0,2.0,0.0,4.0,3.0,4
67608,1.3,3.0,2.0,3.5,4.0,1.5454545,4.0,0.0,1.0,1.0,4.0,3.0,4
19735,2.0999999,2.0,2.0,2.6666667,6.0,1.3636364,1.0,3.0,1.0,1.0,0.0,3.0,4
46266,2.9000001,1.0,1.0,3.3333333,5.0,2.7272727,0.0,0.0,3.0,3.0,3.0,3.0,4
59207,1.3,2.0,0.0,3.1666667,7.0,2.909091,4.0,1.0,1.0,0.0,0.0,3.0,4
48946,1.7,0.0,2.0,3.5,5.0,2.2727273,1.0,1.0,0.0,0.0,1.0,3.0,4
86083,1.8,2.0,2.0,2.5,,2.5454545,1.0,1.0,1.0,1.0,4.0,3.0,4
96613,1.4,2.0,0.0,3.5,5.0,2.6363637,3.0,4.0,1.0,0.0,0.0,3.0,4
50766,1.5,2.0,2.0,3.0,2.0,1.8181819,2.0,4.0,1.0,0.0,2.0,3.0,4
71089,1.7,2.0,2.0,3.0,7.0,3.7272727,3.0,3.0,0.0,0.0,0.0,3.0,4
80980,1.5,2.0,2.0,4.0,6.0,1.4545455,0.0,0.0,1.0,1.0,4.0,3.0,4
98462,0.69999999,2.0,2.0,3.5,5.0,3.3636363,1.0,3.0,3.0,3.0,2.0,3.0,4
64302,2.0,0.0,2.0,3.0,6.0,2.5454545,3.0,3.0,3.0,3.0,3.0,3.0,4
22688,1.1,3.0,2.0,3.5,5.0,1.8181819,3.0,4.0,1.0,1.0,0.0,3.0,4
38815,2.4000001,0.0,0.0,2.5,4.0,2.4545455,4.0,2.0,1.0,0.0,3.0,3.0,4
68404,2.2,0.0,2.0,3.5,,2.3636363,0.0,3.0,1.0,1.0,4.0,3.0,4
72885,1.9,0.0,2.0,2.5,7.0,2.8181818,0.0,3.0,0.0,0.0,1.0,3.0,4
71193,2.7,1.0,1.0,2.5,8.0,2.7272727,0.0,3.0,3.0,3.0,1.0,3.0,4
98760,0.69999999,3.0,2.0,3.5,7.0,1.4545455,4.0,3.0,3.0,3.0,1.0,3.0,4
95374,1.7,1.0,2.0,3.3333333,6.0,3.090909,3.0,3.0,3.0,3.0,3.0,3.0,4
71985,1.7,0.0,2.0,3.5,4.0,3.4545455,4.0,0.0,3.0,3.0,3.0,3.0,4
43125,2.2,2.0,2.0,3.1666667,11.0,2.6363637,3.0,3.0,4.0,1.0,1.0,3.0,4
98117,1.8,1.0,3.0,2.1666667,3.0,2.7272727,3.0,3.0,3.0,3.0,4.0,3.0,4
22989,1.6,3.0,0.0,3.0,,2.4545455,4.0,4.0,4.0,0.0,4.0,4.0,4
24883,2.3,2.0,3.0,2.6666667,5.0,1.7272727,0.0,3.0,1.0,1.0,4.0,2.0,4
20650,2.0,0.0,2.0,3.0,,3.7272727,2.0,0.0,1.0,0.0,1.0,2.0,4
66815,1.4,3.0,2.0,4.0,5.0,1.2727273,2.0,4.0,3.0,3.0,0.0,3.0,4
89161,1.5,3.0,0.0,3.1666667,5.0,3.7272727,1.0,0.0,1.0,1.0,4.0,3.0,4
54956,2.5,0.0,2.0,3.6666667,,2.3636363,2.0,2.0,3.0,3.0,4.0,3.0,4
14847,2.4000001,0.0,2.0,1.6666666,,3.3636363,4.0,3.0,2.0,2.0,1.0,2.0,4
85453,1.3,3.0,0.0,3.5,,2.1818182,4.0,1.0,1.0,1.0,2.0,4.0,4
19827,3.0,1.0,2.0,2.0,,1.3636364,3.0,4.0,4.0,4.0,4.0,3.0,4
43382,1.4,3.0,2.0,3.0,6.0,1.5454545,3.0,3.0,3.0,2.0,2.0,3.0,4
44344,2.3,0.0,0.0,2.5,,2.1818182,4.0,1.0,3.0,0.0,0.0,3.0,4
94215,1.7,0.0,2.0,2.3333333,,3.0,1.0,1.0,3.0,3.0,3.0,3.0,4
57144,1.8,2.0,2.0,2.8333333,,1.7272727,3.0,4.0,3.0,3.0,3.0,3.0,4
75438,1.4,2.0,2.0,2.6666667,4.0,2.4545455,4.0,1.0,0.0,1.0,4.0,3.0,4
99733,1.0,2.0,0.0,3.3333333,5.0,1.7272727,1.0,2.0,3.0,3.0,4.0,3.0,4
27407,2.3,0.0,2.0,3.0,6.0,2.0,1.0,1.0,0.0,3.0,4.0,3.0,4
14250,2.0999999,0.0,2.0,3.8333333,4.0,3.1818182,2.0,2.0,3.0,2.0,1.0,3.0,4
43794,2.2,2.0,2.0,2.8333333,6.0,2.3636363,0.0,1.0,2.0,1.0,2.0,3.0,4
60216,1.6,0.0,2.0,3.5,7.0,2.5454545,4.0,4.0,2.0,2.0,0.0,2.0,4
51437,1.6,2.0,0.0,3.5,4.0,2.2727273,4.0,0.0,0.0,0.0,4.0,3.0,4
21932,0.30000001,2.0,0.0,3.0,7.0,1.3636364,1.0,1.0,2.0,0.0,3.0,3.0,4
98206,1.4,2.0,0.0,3.6666667,,1.4545455,3.0,1.0,3.0,1.0,1.0,3.0,4
